"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"2.863.078,71";"359.183.105,69";"286.713.620,04";"1.280.717,58";
"07/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 1.487.498,84";"297.375.071,71";"361.810.464,78";"1.275.029,46";
"11/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"248.727.144,97";"453.587.906,33";"407.768.466,64";"- 1.393.629,49";
"01/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.422.753.504,49";"275.366.346,35";"90.133.741,40";"243.714.515,33";
"09/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"813.491,93";"290.993.989,33";"295.891.469,45";"2.514.379,45";
"02/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"6.510.467,79";"300.022.012,12";"294.644.811,46";"20.943.063,52";
"03/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"680.373,22";"304.479.835,46";"299.633.020,25";"5.651.123,92";
"12/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 45.536.926,45";"350.776.202,32";"357.322.108,94";"3.342.381,00";
"08/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"6.812.039,80";"291.847.772,33";"299.911.091,70";"3.805.438,49";
"10/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"80.302.897,68";"298.404.852,43";"294.445.306,83";"6.169.578,51";
"04/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"211.881.852,00";"301.364.692,92";"300.435.233,92";"7.235.814,37";
"05/2019";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"17.694.801,05";"306.637.881,05";"310.148.477,99";"2.191.308,43";
"12/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"5.445.468,58";"2.104.461,71";"2.224.672,72";"574.473,90";
"07/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"- 1.112.080,41";"972.317,56";"1.268.404,45";"1.270.680,16";
"11/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.880.149,11";"2.948.684,02";"2.638.574,52";"3.245.571,08";
"05/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"467.937,01";"2.240.998,00";"2.212.052,88";"119.280,88";
"01/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"16.974.174,03";"1.265.996,21";"377.322,03";"1.849.487,16";
"03/2019";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.683.323,89";"1.968.643,12";"1.994.709,55";"1.118.268,80";
