mes_ano,programa_orcamentario,acao_orcamentaria,orgao_entidade_vinculada,Valor Empenhado,Valor Liquidado,Valor Pago
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,"09HB - CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS",20203 - Agência Nacional do Cinema,14765335.0,1101818.64,1101818.64
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,0181 - APOSENTADORIAS E PENSOES CIVIS DA UNIAO,20203 - Agência Nacional do Cinema,1139983.0,125848.51,0.0
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,"212B - BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES",20203 - Agência Nacional do Cinema,2323826.0,185660.09,0.0
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,"2004 - ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES",20203 - Agência Nacional do Cinema,561117.0,44831.94,0.0
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,20203 - Agência Nacional do Cinema,89526.81,59826.83,11990.3
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,216H - AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS,20203 - Agência Nacional do Cinema,0.0,0.0,0.0
2022-01-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP - ATIVOS CIVIS DA UNIAO,20203 - Agência Nacional do Cinema,78569903.0,6076692.53,1681728.43
2022-02-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,216H - AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS,20203 - Agência Nacional do Cinema,38084.58,12694.86,0.0
2022-02-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,20203 - Agência Nacional do Cinema,4507158.63,111258.08,89936.99
2022-02-01,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,"2004 - ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES",20203 - Agência Nacional do Cinema,0.0,44785.63,44831.94
