UF,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACRE,0.08,0.05,0.08,0.1,0.05,0.08,0.11,0.17,0.51,0.53,0.57,0.59,0.62,0.65,0.55,0.61,0.14,0.25,0.32,0.33,0.36
ALAGOAS,0.16,0.13,0.1,0.09,0.09,0.14,0.22,0.26,0.34,0.32,0.46,0.5,0.52,0.52,0.46,0.49,0.1,0.14,0.33,0.41,0.43
AMAPA,0.26,0.21,0.22,0.26,0.26,0.34,0.29,0.28,0.28,0.22,0.15,0.54,0.81,0.86,0.75,0.77,0.16,0.24,0.47,0.55,0.58
AMAZONAS,0.47,0.38,0.42,0.41,0.46,0.55,0.77,0.91,0.9,0.84,0.91,0.96,1.01,0.97,0.89,0.87,0.2,0.21,0.39,0.53,0.54
BAHIA,0.32,0.22,0.19,0.18,0.23,0.3,0.39,0.41,0.41,0.4,0.41,0.4,0.45,0.42,0.4,0.42,0.1,0.11,0.23,0.26,0.32
CEARA,0.28,0.24,0.2,0.21,0.19,0.29,0.36,0.36,0.37,0.37,0.41,0.53,0.62,0.63,0.54,0.57,0.14,0.18,0.32,0.42,0.47
DISTRITO FEDERAL,2.03,1.23,1.07,1.26,1.43,1.64,1.96,2.02,1.72,1.61,1.59,1.98,2.1,1.85,1.68,1.79,0.41,0.51,0.93,1.11,1.27
ESPIRITO SANTO,0.57,0.43,0.39,0.41,0.45,0.59,0.65,0.64,0.67,0.67,0.74,0.82,0.91,0.8,0.75,0.82,0.2,0.25,0.41,0.48,0.54
GOIAS,0.49,0.37,0.3,0.34,0.39,0.54,0.61,0.64,0.7,0.64,0.67,0.66,0.73,0.74,0.65,0.66,0.15,0.19,0.39,0.45,0.47
MARANHAO,0.17,0.13,0.11,0.14,0.13,0.15,0.18,0.21,0.21,0.26,0.3,0.32,0.36,0.33,0.33,0.32,0.08,0.09,0.19,0.21,0.23
MATO GROSSO,0.39,0.38,0.34,0.3,0.32,0.41,0.53,0.57,0.61,0.65,0.69,0.72,0.79,0.82,0.71,0.74,0.19,0.26,0.39,0.43,0.42
MATO GROSSO DO SUL,0.46,0.36,0.3,0.29,0.31,0.38,0.45,0.47,0.54,0.52,0.59,0.66,0.75,0.69,0.59,0.61,0.15,0.21,0.38,0.43,0.44
MINAS GERAIS,0.42,0.33,0.31,0.29,0.32,0.43,0.51,0.53,0.55,0.53,0.54,0.57,0.62,0.58,0.53,0.58,0.13,0.14,0.32,0.38,0.41
PARA,0.18,0.14,0.12,0.11,0.11,0.15,0.19,0.73,0.31,0.34,0.39,0.4,0.49,0.47,0.44,0.44,0.11,0.15,0.23,0.27,0.28
PARAIBA,0.6,0.47,0.42,0.44,0.41,0.25,0.31,0.26,0.35,0.32,0.33,0.38,0.45,0.46,0.41,0.44,0.09,0.11,0.22,0.28,0.32
PARANA,0.28,0.24,0.22,0.2,0.18,0.56,0.7,0.33,0.75,0.73,0.75,0.78,0.83,0.84,0.74,0.83,0.17,0.23,0.48,0.56,0.58
PERNAMBUCO,0.35,0.34,0.29,0.28,0.31,0.42,0.49,0.52,0.59,0.61,0.61,0.64,0.69,0.65,0.61,0.66,0.15,0.18,0.34,0.46,0.52
PIAUI,0.09,0.07,0.07,0.08,0.08,0.12,0.15,0.15,0.17,0.17,0.19,0.26,0.42,0.48,0.41,0.45,0.1,0.14,0.21,0.25,0.29
RIO DE JANEIRO,1.05,0.82,0.73,0.71,0.86,1.11,1.32,0.62,0.62,0.63,0.62,0.67,0.67,0.68,0.62,0.71,0.15,0.4,0.7,0.85,0.95
RIO GRANDE DO NORTE,0.27,0.2,0.25,0.26,0.26,0.34,0.45,1.38,1.46,1.47,1.46,1.54,1.61,1.55,1.39,1.45,0.35,0.17,0.29,0.36,0.43
RIO GRANDE DO SUL,0.65,0.47,0.38,0.38,0.37,0.49,0.62,0.47,0.48,0.46,0.56,0.6,0.63,0.6,0.55,0.54,0.13,0.18,0.38,0.46,0.48
RONDONIA,0.14,0.11,0.1,0.09,0.08,0.31,0.4,0.43,0.44,0.39,0.4,0.4,0.48,0.5,0.69,0.53,0.13,0.24,0.37,0.37,0.33
RORAIMA,0.14,0.1,0.1,0.11,0.18,0.28,0.41,0.51,0.38,0.39,0.43,0.95,1.38,1.59,1.25,1.22,0.27,0.46,0.67,0.67,0.62
SANTA CATARINA,0.45,0.34,0.3,0.38,0.39,0.54,0.64,0.66,0.69,0.7,0.67,0.77,0.84,0.84,0.75,0.84,0.19,0.28,0.51,0.56,0.61
SAO PAULO,1.03,0.81,0.7,0.72,0.78,1.0,1.17,0.56,1.21,1.16,1.2,1.31,1.41,1.39,1.21,1.3,0.28,0.39,0.69,0.83,0.91
SERGIPE,0.53,0.38,0.33,0.31,0.32,0.44,0.55,1.19,0.53,0.5,0.53,0.57,0.57,0.54,0.49,0.53,0.12,0.14,0.34,0.44,0.47
TOCANTINS,0.06,0.06,0.06,0.06,0.04,0.03,0.04,0.21,0.39,0.39,0.41,0.37,0.41,0.44,0.39,0.4,0.08,0.13,0.24,0.29,0.3
