1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,77,5.276.936,2.609.998,202
RIO DE JANEIRO,299,22.222.772,16.112.678,138
SAO PAULO,810,49.411.324,41.587.182,119
AMAZONAS,41,3.211.348,3.538.387,091
PARANA,152,7.678.967,10.512.349,073
SANTA CATARINA,97,4.168.442,6.317.054,066
ESPIRITO SANTO,44,2.264.417,3.547.055,064
GOIAS,79,3.874.895,6.080.716,064
RIO GRANDE DO SUL,149,6.673.959,10.733.030,062
MATO GROSSO,27,1.766.054,3.075.936,057
SERGIPE,14,1.171.108,2.089.819,056
MINAS GERAIS,196,10.404.118,19.728.701,053
PERNAMBUCO,60,4.614.810,8.864.906,052
RORAIMA,6,232.439,460.165,051
MATO GROSSO DO SUL,24,1.175.579,2.477.542,047
RIO GRANDE DO NORTE,19,1.512.059,3.198.657,047
RONDONIA,12,677.373,1.576.455,043
BAHIA,75,5.838.924,14.097.534,041
CEARA,43,3.074.672,8.530.155,036
PARAIBA,25,1.246.834,3.791.315,033
AMAPA,6,193.873,684.309,028
ALAGOAS,14,824.653,3.143.384,026
PARA,31,1.988.174,7.688.593,026
TOCANTINS,9,300.030,1.400.892,021
MARANHAO,20,1.364.795,6.645.761,021
ACRE,7,126.195,746.386,017
PIAUI,10,477.692,3.140.328,015
Total,2.346,141.772.442,192.379.287,074
