0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2010  33. Evolução dos investimentos na produção audiovisual 1995/2010  Investimentos19951996199719981999 Lei do Audiovisual (Art. 1º)16.848.50750.449.95275.917.00139.093.36237.766.848 Lei do Audiovisual (Art. 1ºA)----- Lei do Audiovisual (Art. 3º)4.030.9927.319.7873.848.4913.999.7073.865.016 Lei do Audiovisual (Art. 3ºA)----- Lei Rouanet8.055.98217.946.98434.245.58730.060.45719.164.603 Conversão da dívida----952.653 Programa Mais Cinema----7.041.667 Orçamento da União1.600.0003.835.8409.822.2125.541.49111.703.668 Art. 39 (Condecine 3%)----- Funcines ----- Total30.535.48179.552.563123.833.29178.695.01780.494.455 Investimentos200020012002200320042005 Lei do Audiovisual (Art. 1º)23.909.64841.487.61834.274.00050.751.00056.232.09041.735.000 Lei do Audiovisual (Art. 1ºA)------ Lei do Audiovisual (Art. 3º)5.891.46515.225.12711.578.00042.217.00037.915.05034.505.000 Lei do Audiovisual (Art. 3ºA)------ Lei Rouanet21.397.44943.981.49620.030.00020.124.00034.361.00037.913.000 Conversão da dívida5.505.668540.2173.192.0002.180.000-- Programa Mais Cinema2.125.000----- Orçamento da União13.929.50015.537.710---- Art. 39 (Condecine 3%)---2.894.00016.669.00014.921.600 Funcines -----1.032.000 Total72.758.730116.772.16869.074.000118.166.000145.177.140130.106.600 Investimentos20062007200820092010*Total Lei do Audiovisual (Art. 1º)56.603.50045.355.90038.087.50031.417.80022.352.414370.348.590 Lei do Audiovisual (Art. 1ºA)-38.523.70049.023.80044.787.60052.624.531184.959.631 Lei do Audiovisual (Art. 3º)63.410.80037.700.10032.626.10023.540.90029.446.526227.283.741 Lei do Audiovisual (Art. 3ºA)---2.500.00028.201.04730.701.047 Lei Rouanet41.474.4009.306.1006.507.5008.490.6002.732.750203.145.355 Conversão da dívida-----10.190.538 Programa Mais Cinema-----9.166.667 Orçamento da União-----46.712.369 Art. 39 (Condecine 3%)5.332.10020.904.00016.984.3006.973.90012.179.95762.374.257 Funcines 3.440.0001.923.0008.185.0001.850.0006.600.00021.998.000 Total170.260.800153.712.800151.414.200119.560.800154.137.2251.166.880.195Fonte: MinC / Ancine - Pesquisa: Filme BObservações: * Dados preliminares, sujeitos a alterações.  Topo da página  © Copyright Filme B. Todos os direitos reservados.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2010,,,,,,,,,,,,,,,,,,,,,
,33. Evolução dos investimentos na produção audiovisual 1995/2010,,,,,,,,,,,,,,,,,,,,,
"Investimentos19951996199719981999 Lei do Audiovisual (Art. 1º)16.848.50750.449.95275.917.00139.093.36237.766.848 Lei do Audiovisual (Art. 1ºA)----- Lei do Audiovisual (Art. 3º)4.030.9927.319.7873.848.4913.999.7073.865.016 Lei do Audiovisual (Art. 3ºA)----- Lei Rouanet8.055.98217.946.98434.245.58730.060.45719.164.603 Conversão da dívida----952.653 Programa Mais Cinema----7.041.667 Orçamento da União1.600.0003.835.8409.822.2125.541.49111.703.668 Art. 39 (Condecine 3%)----- Funcines ----- Total30.535.48179.552.563123.833.29178.695.01780.494.455 Investimentos200020012002200320042005 Lei do Audiovisual (Art. 1º)23.909.64841.487.61834.274.00050.751.00056.232.09041.735.000 Lei do Audiovisual (Art. 1ºA)------ Lei do Audiovisual (Art. 3º)5.891.46515.225.12711.578.00042.217.00037.915.05034.505.000 Lei do Audiovisual (Art. 3ºA)------ Lei Rouanet21.397.44943.981.49620.030.00020.124.00034.361.00037.913.000 Conversão da dívida5.505.668540.2173.192.0002.180.000-- Programa Mais Cinema2.125.000----- Orçamento da União13.929.50015.537.710---- Art. 39 (Condecine 3%)---2.894.00016.669.00014.921.600 Funcines -----1.032.000 Total72.758.730116.772.16869.074.000118.166.000145.177.140130.106.600 Investimentos20062007200820092010*Total Lei do Audiovisual (Art. 1º)56.603.50045.355.90038.087.50031.417.80022.352.414370.348.590 Lei do Audiovisual (Art. 1ºA)-38.523.70049.023.80044.787.60052.624.531184.959.631 Lei do Audiovisual (Art. 3º)63.410.80037.700.10032.626.10023.540.90029.446.526227.283.741 Lei do Audiovisual (Art. 3ºA)---2.500.00028.201.04730.701.047 Lei Rouanet41.474.4009.306.1006.507.5008.490.6002.732.750203.145.355 Conversão da dívida-----10.190.538 Programa Mais Cinema-----9.166.667 Orçamento da União-----46.712.369 Art. 39 (Condecine 3%)5.332.10020.904.00016.984.3006.973.90012.179.95762.374.257 Funcines 3.440.0001.923.0008.185.0001.850.0006.600.00021.998.000 Total170.260.800153.712.800151.414.200119.560.800154.137.2251.166.880.195Fonte: MinC / Ancine - Pesquisa: Filme BObservações: * Dados preliminares, sujeitos a alterações.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Investimentos,1995,1996,1997,1998,1999,,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 1º),16.848.507,50.449.952,75.917.001,39.093.362,37.766.848,,,,,,,,,,,,,,,,,
