1,2,3,4
estado,salas,pop. Estado,habitantes por sala
RORAIMA,15,505.665,33.711
DISTRITO FEDERAL,86,2.914.830,33.893
AMAPÁ,17,766.679,45.099
SÃO PAULO,974,44.396.484,45.582
RIO DE JANEIRO,351,16.550.024,47.151
ESPIRITO SANTO,69,3.929.911,56.955
SANTA CATARINA,119,6.819.190,57.304
AMAZONAS,63,3.938.336,62.513
GOIÁS,98,6.610.681,67.456
PARANÁ,163,11.163.018,68.485
RIO GRANDE DO SUL,150,11.247.972,74.986
MATO GROSSO,42,3.265.486,77.750
MINAS GERAIS,251,20.869.101,83.144
MATO GROSSO DO SUL,28,2.651.235,94.687
CEARÁ,84,8.904.459,106.005
PERNAMBUCO,88,9.345.173,106.195
RIO GRANDE DO NORTE,31,3.442.175,111.038
ALAGOAS,29,3.340.932,115.205
TOCANTINS,13,1.515.126,116.548
PARAIBA,34,3.972.202,116.829
RONDONIA,15,1.768.204,117.880
SERGIPE,18,2.242.937,124.608
PARÁ,64,8.165.436,127.585
PIAUI,24,3.204.028,133.501
MARANHÃO,44,6.904.241,156.915
ACRE,5,803.513,160.703
BAHIA,85,15.203.934,178.870
TOTAL,2.960,204.440.972,69.068
