"Unidade da Federação";"População residente"
"São Paulo";46649132
"Minas Gerais";21411923
"Rio de Janeiro";17463302
"Bahia";14985284
"Paraná";11597484
"Rio Grande do Sul";11466630
"Pernambuco";9674793
"Ceará";9240580
"Pará";8777124
"Santa Catarina";7338473
"Goiás";7206589
"Maranhão";7153262
"Amazonas";4269995
"Espírito Santo";4108508
"Paraíba";4059905
"Mato Grosso";3567234
"Rio Grande do Norte";3560903
"Alagoas";3365351
"Piauí";3289290
"Distrito Federal";3094325
"Mato Grosso do Sul";2839188
"Sergipe";2338474
"Rondônia";1815278
"Tocantins";1607363
"Acre";906876
"Amapá";877613
"Roraima";652713
"Total";213317639
