"Unidade da Federação";"População residente" 
"São Paulo";45973194 
"Minas Gerais";21322691 
"Rio de Janeiro";17219679 
"Bahia";14850513 
"Paraná";11824665 
"Rio Grande do Sul";11229915
"Pernambuco";9539029 
"Ceará";9233656
"Pará";8664306 
"Santa Catarina";8058441 
"Goiás";7350483 
"Maranhão";7010960 
"Amazonas";4281209 
"Paraíba";4145040 
"Espírito Santo";4102129 
"Mato Grosso";3836399 
"Rio Grande do Norte";3446071 
"Piauí";3375646 
"Alagoas";3220104 
"Distrito Federal";2982818 
"Mato Grosso do Sul";2901895 
"Sergipe";2291077 
"Rondônia";1746227 
"Tocantins";1577342 
"Acre";880631 
"Amapá";802837
"Roraima";716793
"Total";212583750
