1,2,3
minicípio,UF,n° salas
SAO PAULO,SP,234
RIO DE JANEIRO,RJ,149
BRASILIA,DF,77
PORTO ALEGRE,RS,65
BELO HORIZONTE,MG,65
CURITIBA,PR,53
CAMPINAS,SP,51
SALVADOR,BA,36
GOIANIA,GO,31
RECIFE,PE,30
RIBEIRAO PRETO,SP,29
FORTALEZA,CE,27
NITEROI,RJ,18
SAO JOSE DOS CAMPOS,SP,18
SOROCABA,SP,18
JOAO PESSOA,PB,18
CUIABA,MT,17
MANAUS,AM,16
SAO LUIS,MA,16
SANTOS,SP,15
GUARULHOS,SP,15
BELEM,PA,15
SANTO ANDRE,SP,15
ARACAJU,SE,14
UBERLANDIA,MG,14
MARINGA,PR,14
SAO BERNARDO DO CAMPO,SP,13
CAMPO GRANDE,MS,12
JABOATAO,PE,12
LONDRINA,PR,11
PRAIA GRANDE,SP,11
SAO JOSE DO RIO PRETO,SP,10
VILA VELHA,ES,10
ARARAQUARA,SP,10
UBERABA,MG,10
BARUERI,SP,9
NATAL,RN,9
JUNDIAI,SP,9
JUIZ DE FORA,MG,9
PONTA GROSSA,PR,9
SAO GONCALO,RJ,9
TERESINA,PI,9
VITORIA,ES,8
FLORIANOPOLIS,SC,8
CAXIAS DO SUL,RS,8
VITORIA DA CONQUISTA,BA,8
CANOAS,RS,7
JOINVILLE,SC,7
SAO JOAO DE MERITI,RJ,7
NOVO HAMBURGO,RS,7
PRESIDENTE PRUDENTE,SP,7
PETROPOLIS,RJ,7
CASCAVEL,PR,7
PIRACICABA,SP,6
BLUMENAU,SC,6
MACEIO,AL,6
NOVA IGUACU,RJ,6
FEIRA DE SANTANA,BA,6
VOLTA REDONDA,RJ,6
APARECIDA DE GOIANIA,GO,6
SERRA,ES,6
TABOAO DA SERRA,SP,5
MAUA,SP,5
OSASCO,SP,5
SUZANO,SP,5
DUQUE DE CAXIAS,RJ,5
ITU,SP,5
INDAIATUBA,SP,5
RIO CLARO,SP,5
PELOTAS,RS,5
JACAREI,SP,5
POCOS DE CALDAS,MG,5
MACAPA,AP,5
BENTO GONCALVES,RS,5
CONTAGEM,MG,4
BAURU,SP,4
MOGI DAS CRUZES,SP,4
SANTA BARBARA D'OESTE,SP,4
SANTA MARIA,RS,4
SAO CARLOS,SP,4
LIMEIRA,SP,4
IPATINGA,MG,4
PASSO FUNDO,RS,4
CAMPINA GRANDE,PB,4
MONTES CLAROS,MG,4
ITABUNA,BA,4
CRICIUMA,SC,4
CACHOEIRO DE ITAPEMIRIM,ES,4
GOVERNADOR VALADARES,MG,4
GUARAPARI,ES,4
ITAPETININGA,SP,4
CARUARU,PE,4
FRANCA,SP,3
MARILIA,SP,3
NOVA FRIBURGO,RJ,3
FOZ DO IGUACU,PR,3
JARAGUA DO SUL,SC,3
RESENDE,RJ,3
NILOPOLIS,RJ,3
PORTO VELHO,RO,3
RONDONOPOLIS,MT,3
BETIM,MG,3
JAU,SP,3
TERESOPOLIS,RJ,3
DOURADOS,MS,3
SANTA CRUZ DO SUL,RS,3
VARGINHA,MG,3
TATUI,SP,3
COSMOPOLIS,SP,3
PINDAMONHANGABA,SP,3
ASSIS,SP,3
TUBARAO,SC,3
CHAPECO,SC,3
ITUMBIARA,GO,3
PALMAS DO TOCANTINS,TO,3
OURINHOS,SP,3
LINHARES,ES,3
PERUIBE,SP,3
BOA VISTA,RR,3
LAGES,SC,3
AMPARO,SP,3
SETE LAGOAS,MG,3
CAPAO DA CANOA,RS,3
ITAPEMA,SC,3
TAUBATE,SP,2
ARACATUBA,SP,2
BALNEARIO DE CAMBORIU,SC,2
PETROLINA,PE,2
CABO FRIO,RJ,2
CACHOEIRINHA,RS,2
ITAJAI,SC,2
ANAPOLIS,GO,2
JUAZEIRO DO NORTE,CE,2
VALPARAISO,GO,2
CAMPOS,RJ,2
BARRA MANSA,RJ,2
ARARUAMA,RJ,2
ILHEUS,BA,2
SAO ROQUE,SP,2
ITAPEVI,SP,2
MACAE,RJ,2
PATOS DE MINAS,MG,2
SAO VICENTE,SP,2
LAVRAS,MG,2
AMERICANA,SP,2
UBATUBA,SP,2
LAJEADO,RS,2
APUCARANA,PR,2
DIVINOPOLIS,MG,2
SANTO ANTONIO DE JESUS,BA,2
TEIXEIRA DE FREITAS,BA,2
SUMARE,SP,2
TRES CORACOES,MG,2
MOGI-MIRIM,SP,2
ITATIBA,SP,2
RIO BRANCO,AC,2
BELFORD ROXO,RJ,2
BARRETOS,SP,2
BARBACENA,MG,2
RIO GRANDE,RS,2
SAO SEBASTIAO,SP,2
TANGARA DA SERRA,MT,2
POUSO ALEGRE,MG,2
CAMACARI,BA,2
SAO CAETANO DO SUL,SP,2
CRUZ ALTA,RS,2
FERNANDOPOLIS,SP,2
SOBRAL,CE,2
ITAPIRA,SP,2
ANGRA DOS REIS,RJ,2
GUARUJA,SP,2
CATANDUVA,SP,2
RIO VERDE,GO,2
BOTUCATU,SP,1
SAO JOAO DEL REY,MG,1
SAO JOAO DA BOA VISTA,SP,1
LORENA,SP,1
ERECHIM,RS,1
BRUSQUE,SC,1
GUARATINGUETA,SP,1
ATIBAIA,SP,1
BRAGANCA PAULISTA,SP,1
MATAO,SP,1
PRIMAVERA DO LESTE,MT,1
JI-PARANA,RO,1
ARARAS,SP,1
ITABIRA,MG,1
COLATINA,ES,1
ALAGOINHAS,BA,1
TOLEDO,PR,1
CATAGUASES,MG,1
TEOFILO OTONI,MG,1
BEBEDOURO,SP,1
JOACABA,SC,1
ARUJA,SP,1
CARAGUATATUBA,SP,1
LINS,SP,1
MOCOCA,SP,1
CARATINGA,MG,1
ARIQUEMES,RO,1
Pesquisa: www.filmeb.com.br,Pesquisa: www.filmeb.com.br,Pesquisa: www.filmeb.com.br
,Topo da página,© Copyright Filme B. Todos os direitos reservados.
