UF,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACRE,4,5,7,8,8,8,7,7,7,7
ALAGOAS,29,29,29,29,31,0,26,31,31,32
AMAPA,17,17,17,17,15,11,15,15,15,15
AMAZONAS,63,63,71,71,70,48,51,59,60,63
BAHIA,87,100,106,114,114,71,121,139,140,143
CEARA,86,98,100,99,107,83,102,111,112,111
DISTRITO FEDERAL,87,88,88,88,88,70,83,84,79,80
ESPIRITO SANTO,69,72,74,78,78,43,69,69,71,72
GOIAS,99,113,117,116,132,51,111,109,118,119
MARANHAO,46,51,62,62,61,34,49,62,56,55
MATO GROSSO,42,45,46,53,53,34,55,57,61,54
MATO GROSSO DO SUL,30,28,28,28,29,15,31,35,35,35
MINAS GERAIS,252,259,257,269,279,128,264,257,274,272
PARA,66,66,66,83,84,71,71,76,76,76
PARAIBA,34,37,38,40,45,28,39,42,43,43
PARANA,169,179,192,200,221,47,198,217,215,231
PERNAMBUCO,88,97,96,116,119,84,110,118,118,118
PIAUI,26,26,26,30,31,22,22,29,29,29
RIO DE JANEIRO,353,366,354,373,382,256,360,369,371,382
RIO GRANDE DO NORTE,31,31,31,31,34,26,30,34,34,32
RIO GRANDE DO SUL,156,161,176,177,184,34,176,177,180,177
RONDONIA,16,15,18,19,24,16,27,27,27,27
RORAIMA,15,15,15,15,15,9,14,14,14,13
SANTA CATARINA,122,130,133,148,149,72,140,141,146,150
SAO PAULO,986,1031,1033,1041,1107,585,1046,1079,1099,1113
SERGIPE,19,21,25,24,28,8,30,34,34,35
TOCANTINS,13,17,18,18,19,6,19,23,23,26
