0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2009  20. Ingressos per capita dos estados estadosalaspúblicopopulaçãoingressos per capita1Distrito Federal934.269.0452.606.8851,642Rio de Janeiro25517.756.11016.010.4291,113São Paulo73141.224.88441.384.0391,004Espirito Santo432.070.6943.487.1990,595Paraná1365.948.08810.686.2470,566Amazonas311.874.5603.393.3690,557Goiás743.191.6865.926.3000,548Santa Catarina723.276.4136.118.7430,549Rio Grande do Sul1395.318.66010.914.1280,4910Sergipe14890.7742.019.6790,4411Minas Gerais1848.533.75620.033.6650,4312Pernambuco533.680.7128.810.2560,4213Mato Grosso261.221.3033.001.6920,4114Mato Grosso do Sul17895.1132.360.4980,3815Amapá6213.372626.6090,3416Rio Grande do Norte141.055.0273.137.5410,3417Rondonia13469.8891.503.9280,3218Bahia784.322.02914.637.3640,3019Ceará412.501.5268.547.8090,2920Roraima5116.291421.4990,2821Paraiba20926.3143.769.9770,2522Pará191.144.1727.431.0200,1523Maranhão11945.6426.367.1380,1524Alagoas5426.2263.156.1080,1425Piaui10385.9703.145.3250,1226Acre354.870691.1320,0827Tocantins338.5771.292.0510,03Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.  Topo da página  © Copyright Filme B. Todos os direitos reservados.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2009,,,,,,,,,,,,,,,,,,,,,
,20. Ingressos per capita dos estados,,,,,,,,,,,,,,,,,,,,,
"estadosalaspúblicopopulaçãoingressos per capita1Distrito Federal934.269.0452.606.8851,642Rio de Janeiro25517.756.11016.010.4291,113São Paulo73141.224.88441.384.0391,004Espirito Santo432.070.6943.487.1990,595Paraná1365.948.08810.686.2470,566Amazonas311.874.5603.393.3690,557Goiás743.191.6865.926.3000,548Santa Catarina723.276.4136.118.7430,549Rio Grande do Sul1395.318.66010.914.1280,4910Sergipe14890.7742.019.6790,4411Minas Gerais1848.533.75620.033.6650,4312Pernambuco533.680.7128.810.2560,4213Mato Grosso261.221.3033.001.6920,4114Mato Grosso do Sul17895.1132.360.4980,3815Amapá6213.372626.6090,3416Rio Grande do Norte141.055.0273.137.5410,3417Rondonia13469.8891.503.9280,3218Bahia784.322.02914.637.3640,3019Ceará412.501.5268.547.8090,2920Roraima5116.291421.4990,2821Paraiba20926.3143.769.9770,2522Pará191.144.1727.431.0200,1523Maranhão11945.6426.367.1380,1524Alagoas5426.2263.156.1080,1425Piaui10385.9703.145.3250,1226Acre354.870691.1320,0827Tocantins338.5771.292.0510,03Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.",,,,,,,,,,,,,,,,,,,,,,
,estado,salas,público,população,ingressos per capita,,,,,,,,,,,,,,,,,
1,Distrito Federal,93,4.269.045,2.606.885,164,,,,,,,,,,,,,,,,,
2,Rio de Janeiro,255,17.756.110,16.010.429,111,,,,,,,,,,,,,,,,,
3,São Paulo,731,41.224.884,41.384.039,100,,,,,,,,,,,,,,,,,
4,Espirito Santo,43,2.070.694,3.487.199,059,,,,,,,,,,,,,,,,,
5,Paraná,136,5.948.088,10.686.247,056,,,,,,,,,,,,,,,,,
6,Amazonas,31,1.874.560,3.393.369,055,,,,,,,,,,,,,,,,,
7,Goiás,74,3.191.686,5.926.300,054,,,,,,,,,,,,,,,,,
