0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Comentário  Database Brasil 2005  19. Média de habitantes por salas dos estados  estadon° salaspopulação estadohabitantes x sala1Distrito Federal872.961.02134.0352São Paulo72740.442.79555.6303Rio de Janeiro24815.383.40762.0304Rio Grande do Sul14610.845.08774.2815Paraná13410.261.85676.5816Espírito Santo423.408.36581.1527Amapá7594.58784.9418Minas Gerais20019.237.45096.1879Mato Grosso292.803.27496.66510Goiás555.619.917102.18011Santa Catarina575.866.568102.92212Mato Grosso do Sul182.264.468125.80413Roraima3391.317130.43914Paraíba263.595.886138.30315Sergipe141.967.791140.55716Pernambuco538.413.593158.74717Amazonas223.232.330146.92418Bahia6213.815.334222.82819Ceará368.097.276224.92420Tocantins61.305.728217.62121Rio Grande do Norte93.003.087333.67622Rondônia81.534.594191.82423Acre2669.736334.86824Piauí83.006.885375.86125Maranhão166.103.327381.45826Pará246.970.586290.44127Alagoas63.015.912502.652Total 2.045184.812.17790.373Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,Comentário,,,,,,,,,,,
,Database Brasil 2005,,,,,,,,,,,,,,,,,,,,,
,19. Média de habitantes por salas dos estados,,,,,,,,,,,,,,,,,,,,,
estadon° salaspopulação estadohabitantes x sala1Distrito Federal872.961.02134.0352São Paulo72740.442.79555.6303Rio de Janeiro24815.383.40762.0304Rio Grande do Sul14610.845.08774.2815Paraná13410.261.85676.5816Espírito Santo423.408.36581.1527Amapá7594.58784.9418Minas Gerais20019.237.45096.1879Mato Grosso292.803.27496.66510Goiás555.619.917102.18011Santa Catarina575.866.568102.92212Mato Grosso do Sul182.264.468125.80413Roraima3391.317130.43914Paraíba263.595.886138.30315Sergipe141.967.791140.55716Pernambuco538.413.593158.74717Amazonas223.232.330146.92418Bahia6213.815.334222.82819Ceará368.097.276224.92420Tocantins61.305.728217.62121Rio Grande do Norte93.003.087333.67622Rondônia81.534.594191.82423Acre2669.736334.86824Piauí83.006.885375.86125Maranhão166.103.327381.45826Pará246.970.586290.44127Alagoas63.015.912502.652Total 2.045184.812.17790.373Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,n° salas,população estado,habitantes x sala,,,,,,,,,,,,,,,,,,
1,Distrito Federal,87,2.961.021,34.035,,,,,,,,,,,,,,,,,,
2,São Paulo,727,40.442.795,55.630,,,,,,,,,,,,,,,,,,
3,Rio de Janeiro,248,15.383.407,62.030,,,,,,,,,,,,,,,,,,
4,Rio Grande do Sul,146,10.845.087,74.281,,,,,,,,,,,,,,,,,,
5,Paraná,134,10.261.856,76.581,,,,,,,,,,,,,,,,,,
6,Espírito Santo,42,3.408.365,81.152,,,,,,,,,,,,,,,,,,
7,Amapá,7,594.587,84.941,,,,,,,,,,,,,,,,,,
8,Minas Gerais,200,19.237.450,96.187,,,,,,,,,,,,,,,,,,
9,Mato Grosso,29,2.803.274,96.665,,,,,,,,,,,,,,,,,,
10,Goiás,55,5.619.917,102.180,,,,,,,,,,,,,,,,,,
11,Santa Catarina,57,5.866.568,102.922,,,,,,,,,,,,,,,,,,
12,Mato Grosso do Sul,18,2.264.468,125.804,,,,,,,,,,,,,,,,,,
13,Roraima,3,391.317,130.439,,,,,,,,,,,,,,,,,,
14,Paraíba,26,3.595.886,138.303,,,,,,,,,,,,,,,,,,
15,Sergipe,14,1.967.791,140.557,,,,,,,,,,,,,,,,,,
16,Pernambuco,53,8.413.593,158.747,,,,,,,,,,,,,,,,,,
17,Amazonas,22,3.232.330,146.924,,,,,,,,,,,,,,,,,,
18,Bahia,62,13.815.334,222.828,,,,,,,,,,,,,,,,,,
19,Ceará,36,8.097.276,224.924,,,,,,,,,,,,,,,,,,
20,Tocantins,6,1.305.728,217.621,,,,,,,,,,,,,,,,,,
21,Rio Grande do Norte,9,3.003.087,333.676,,,,,,,,,,,,,,,,,,
22,Rondônia,8,1.534.594,191.824,,,,,,,,,,,,,,,,,,
23,Acre,2,669.736,334.868,,,,,,,,,,,,,,,,,,
24,Piauí,8,3.006.885,375.861,,,,,,,,,,,,,,,,,,
25,Maranhão,16,6.103.327,381.458,,,,,,,,,,,,,,,,,,
26,Pará,24,6.970.586,290.441,,,,,,,,,,,,,,,,,,
27,Alagoas,6,3.015.912,502.652,,,,,,,,,,,,,,,,,,
,Total,2.045,184.812.177,90.373,,,,,,,,,,,,,,,,,,
Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
