0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2018  25. Histórico de salas e público (1971/2018)  anosalaspúblicomédia por sala19712.154203.020.33994.25319722.648191.489.25072.31519732.690193.377.65171.88819742.676201.291.00275.22119753.276275.380.44684.06019763.161250.530.85179.25719773.156208.336.00266.01319782.973211.657.02471.19319792.937191.908.00065.34219802.365164.773.00069.67119812.244138.892.00061.89519821.988127.913.00064.34319831.736106.536.00061.36919841.55389.936.00057.91119851.42891.300.00063.93619861.372127.603.00093.00519871.399116.939.00083.58819881.423108.567.00076.29419891.520110.072.00072.41619901.48895.101.00063.91219911.51195.093.00062.93419921.40075.000.00053.57119931.25070.000.00056.00019941.28975.000.00058.18519951.03385.000.00082.28519961.36562.000.00045.42119971.07552.000.00048.37219981.30070.000.00053.84619991.35070.000.00051.85220001.48072.000.00048.64920011.62075.000.00046.29620021.63590.865.98855.57620031.817105.031.45757.80520041.997117.451.86358.81420052.04593.602.86345.77220062.04590.283.63544.14820072.05089.319.29043.57020082.06389.109.59543.19420092.096112.762.16853.79920102.225134.957.94260.65520112.346141.772.44260.43220122.529148.914.09258.88320132.645151.190.28657.16120142.819157.288.03855.79620152.960170.721.98157.67620163.118185.864.31859.61020173.206183.050.11857.09620183.333164.437.19349.336Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2018,,,,,,,,,,,,,,,,,,,,,
,25. Histórico de salas e público (1971/2018),,,,,,,,,,,,,,,,,,,,,
anosalaspúblicomédia por sala19712.154203.020.33994.25319722.648191.489.25072.31519732.690193.377.65171.88819742.676201.291.00275.22119753.276275.380.44684.06019763.161250.530.85179.25719773.156208.336.00266.01319782.973211.657.02471.19319792.937191.908.00065.34219802.365164.773.00069.67119812.244138.892.00061.89519821.988127.913.00064.34319831.736106.536.00061.36919841.55389.936.00057.91119851.42891.300.00063.93619861.372127.603.00093.00519871.399116.939.00083.58819881.423108.567.00076.29419891.520110.072.00072.41619901.48895.101.00063.91219911.51195.093.00062.93419921.40075.000.00053.57119931.25070.000.00056.00019941.28975.000.00058.18519951.03385.000.00082.28519961.36562.000.00045.42119971.07552.000.00048.37219981.30070.000.00053.84619991.35070.000.00051.85220001.48072.000.00048.64920011.62075.000.00046.29620021.63590.865.98855.57620031.817105.031.45757.80520041.997117.451.86358.81420052.04593.602.86345.77220062.04590.283.63544.14820072.05089.319.29043.57020082.06389.109.59543.19420092.096112.762.16853.79920102.225134.957.94260.65520112.346141.772.44260.43220122.529148.914.09258.88320132.645151.190.28657.16120142.819157.288.03855.79620152.960170.721.98157.67620163.118185.864.31859.61020173.206183.050.11857.09620183.333164.437.19349.336Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
ano,salas,público,média por sala,,,,,,,,,,,,,,,,,,,
1971,2.154,203.020.339,94.253,,,,,,,,,,,,,,,,,,,
1972,2.648,191.489.250,72.315,,,,,,,,,,,,,,,,,,,
1973,2.690,193.377.651,71.888,,,,,,,,,,,,,,,,,,,
1974,2.676,201.291.002,75.221,,,,,,,,,,,,,,,,,,,
1975,3.276,275.380.446,84.060,,,,,,,,,,,,,,,,,,,
1976,3.161,250.530.851,79.257,,,,,,,,,,,,,,,,,,,
1977,3.156,208.336.002,66.013,,,,,,,,,,,,,,,,,,,
1978,2.973,211.657.024,71.193,,,,,,,,,,,,,,,,,,,
1979,2.937,191.908.000,65.342,,,,,,,,,,,,,,,,,,,
1980,2.365,164.773.000,69.671,,,,,,,,,,,,,,,,,,,
1981,2.244,138.892.000,61.895,,,,,,,,,,,,,,,,,,,
1982,1.988,127.913.000,64.343,,,,,,,,,,,,,,,,,,,
1983,1.736,106.536.000,61.369,,,,,,,,,,,,,,,,,,,
1984,1.553,89.936.000,57.911,,,,,,,,,,,,,,,,,,,
1985,1.428,91.300.000,63.936,,,,,,,,,,,,,,,,,,,
1986,1.372,127.603.000,93.005,,,,,,,,,,,,,,,,,,,
1987,1.399,116.939.000,83.588,,,,,,,,,,,,,,,,,,,
1988,1.423,108.567.000,76.294,,,,,,,,,,,,,,,,,,,
1989,1.520,110.072.000,72.416,,,,,,,,,,,,,,,,,,,
1990,1.488,95.101.000,63.912,,,,,,,,,,,,,,,,,,,
1991,1.511,95.093.000,62.934,,,,,,,,,,,,,,,,,,,
1992,1.400,75.000.000,53.571,,,,,,,,,,,,,,,,,,,
1993,1.250,70.000.000,56.000,,,,,,,,,,,,,,,,,,,
1994,1.289,75.000.000,58.185,,,,,,,,,,,,,,,,,,,
1995,1.033,85.000.000,82.285,,,,,,,,,,,,,,,,,,,
1996,1.365,62.000.000,45.421,,,,,,,,,,,,,,,,,,,
1997,1.075,52.000.000,48.372,,,,,,,,,,,,,,,,,,,
1998,1.300,70.000.000,53.846,,,,,,,,,,,,,,,,,,,
1999,1.350,70.000.000,51.852,,,,,,,,,,,,,,,,,,,
2000,1.480,72.000.000,48.649,,,,,,,,,,,,,,,,,,,
2001,1.620,75.000.000,46.296,,,,,,,,,,,,,,,,,,,
2002,1.635,90.865.988,55.576,,,,,,,,,,,,,,,,,,,
2003,1.817,105.031.457,57.805,,,,,,,,,,,,,,,,,,,
2004,1.997,117.451.863,58.814,,,,,,,,,,,,,,,,,,,
2005,2.045,93.602.863,45.772,,,,,,,,,,,,,,,,,,,
2006,2.045,90.283.635,44.148,,,,,,,,,,,,,,,,,,,
2007,2.050,89.319.290,43.570,,,,,,,,,,,,,,,,,,,
2008,2.063,89.109.595,43.194,,,,,,,,,,,,,,,,,,,
2009,2.096,112.762.168,53.799,,,,,,,,,,,,,,,,,,,
2010,2.225,134.957.942,60.655,,,,,,,,,,,,,,,,,,,
2011,2.346,141.772.442,60.432,,,,,,,,,,,,,,,,,,,
2012,2.529,148.914.092,58.883,,,,,,,,,,,,,,,,,,,
2013,2.645,151.190.286,57.161,,,,,,,,,,,,,,,,,,,
2014,2.819,157.288.038,55.796,,,,,,,,,,,,,,,,,,,
2015,2.960,170.721.981,57.676,,,,,,,,,,,,,,,,,,,
2016,3.118,185.864.318,59.610,,,,,,,,,,,,,,,,,,,
2017,3.206,183.050.118,57.096,,,,,,,,,,,,,,,,,,,
2018,3.333,164.437.193,49.336,,,,,,,,,,,,,,,,,,,
Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B,Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B,Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B,Fonte: 1972/1991: Embrafilme/Estimativas - Filme B | 1992/2007: Público - SDRJ/Distribuidoras | 2008/2018: Público - Filme B Box Office - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
