0,1,2
Total de salas multiplex por estado,Total de salas multiplex por estado,Total de salas multiplex por estado
UF,total,market share
São Paulo,449,"40,8%"
Rio de Janeiro,105,"9,5%"
Minas Gerais,86,"7,8%"
Distrito Federal,66,"6,0%"
Paraná,65,"5,9%"
Rio Grande do Sul,44,"4,0%"
Pernambuco,36,"3,3%"
Bahia,34,"3,1%"
Amazonas,30,"2,7%"
Santa Catarina,30,"2,7%"
Goiás,28,"2,5%"
Paraíba,21,"1,9%"
Espírito Santo,19,"1,7%"
Ceará,18,"1,6%"
Mato Grosso,16,"1,5%"
Sergipe,14,"1,3%"
Rio Grande do Norte,14,"1,3%"
Maranhão,10,"0,9%"
Mato Grosso do Sul,9,"0,8%"
Pará,7,"0,6%"
Total,1101,
