0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,116,788,"35,4%"
RIO DE JANEIRO,39,240,"10,8%"
MINAS GERAIS,30,174,"7,8%"
PARANÁ,19,114,"5,1%"
RIO GRANDE DO SUL,15,88,"3,9%"
DISTRITO FEDERAL,12,82,"3,7%"
SANTA CATARINA,13,76,"3,4%"
PERNAMBUCO,11,73,"3,3%"
AMAZONAS,8,63,"2,8%"
GOIÁS,11,59,"2,6%"
BAHIA,8,59,"2,6%"
CEARÁ,8,54,"2,4%"
ESPIRITO SANTO,9,52,"2,3%"
PARÁ,8,47,"2,1%"
MARANHÃO,6,38,"1,7%"
PARAÍBA,5,31,"1,4%"
RIO GRANDE DO NORTE,5,31,"1,4%"
MATO GROSSO,4,29,"1,3%"
ALAGOAS,4,26,"1,2%"
MATO GROSSO DO SUL,3,23,"1,0%"
PIAUÍ,3,21,"0,9%"
SERGIPE,3,18,"0,8%"
AMAPÁ,2,13,"0,6%"
TOCANTINS,2,11,"0,5%"
RORAIMA,2,9,"0,4%"
RONDÔNIA,1,5,"0,2%"
ACRE,1,4,"0,2%"
TOTAL,348,2228,
