"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"16.857.397,45";"299.688.616,24";"298.638.762,17";"426.409,53";
"03/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"41.576.940,73";"317.838.328,85";"306.853.550,72";"3.488.336,15";
"05/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"24.766.233,57";"303.355.527,64";"302.530.588,82";"620.209,99";
"01/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"2.079.350.359,24";"268.851.550,88";"86.710.803,17";"257.223.062,59";
"09/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.616.099,60";"300.700.059,36";"300.346.532,83";"394.081,41";
"08/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.529.240,58";"299.172.769,37";"298.230.266,83";"2.024.602,37";
"02/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"13.106.273,15";"290.268.382,37";"293.217.653,18";"11.250.553,96";
"06/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.112.611.080,00";"367.554.182,58";"310.488.715,58";"1.173.742,63";
"07/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"407.705.752,96";"297.392.304,75";"363.510.443,40";"7.623.236,87";
"11/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"224.120.149,40";"444.117.914,28";"394.485.615,05";"472.873,23";
"12/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"92.303.664,20";"395.660.244,97";"383.089.758,61";"224.647,98";
"04/2020";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"54.985.066,69";"307.683.289,02";"313.050.248,27";"1.045.189,23";
"04/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"3.915.136,09";"3.699.171,44";"3.666.998,05";"9.050,45";
"02/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"195.975,07";"1.262.773,07";"1.333.283,91";"333.621,26";
"03/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"3.218.046,58";"2.401.639,72";"2.311.622,15";"12.002,74";
"07/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.500.774,42";"1.874.894,72";"2.335.867,70";"488.332,44";
"06/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"156.190,97";"1.977.024,96";"1.614.606,54";"3.111.574,94";
"08/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.555.090,83";"1.990.723,47";"1.974.202,10";"2.480.008,74";
"01/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"19.580.875,27";"1.276.516,41";"409.955,68";"2.961.924,61";
"10/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"680.154,69";"1.849.743,33";"1.825.423,58";"0,00";
"09/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.894.821,77";"4.470.632,51";"4.508.318,63";"0,00";
"11/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"3.244.975,65";"2.373.419,77";"2.132.795,29";"0,00";
"12/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"22.645.183,57";"15.007.182,78";"13.054.811,07";"0,00";
"05/2020";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"- 494.052,47";"1.433.297,65";"1.450.076,82";"7.139.843,50";
"02/2020";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"10.307.486,96";"35.694.720,60";"36.652.031,04";"3.754.908,94";
"10/2020";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"12.820.205,94";"36.196.799,79";"37.198.238,77";"94.605,63";
"03/2020";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"3.509.919,62";"36.918.703,92";"37.367.182,38";"6.168.087,28";
