"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"60.515.443,20";"380.771.877,72";"369.567.167,04";"39.445.662,17";
"04/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"242.915,47";"296.063,64";"254.122.582,74";"23.402,27";
"03/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 991.710,25";"1.104.847.514,17";"661.800.872,28";"12.246.034,56";
"01/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"4.622.302.579,55";"355.166.939,94";"55.693.928,70";"364.428.598,17";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.303.567,24";"2.391.449,69";"4.063.378,92";"1.602.652,64";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"616.258,16";"2.123.105,66";"2.255.123,45";"1.333.121,44";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"15.836.453,71";"2.414.868,93";"257.429,35";"3.977.241,38";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"100.000,00";"11.191,95";"1.474.093,02";"0,00";
"01/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"637.265.143,31";"45.153.058,36";"2.114.621,36";"64.535.365,66";
"03/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 327.711.664,66";"131.796.296,52";"80.279.299,52";"1.820.717,13";
"04/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"1.830.689,22";"352.341,93";"35.610.394,18";"125.244,05";
"02/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 53.605.008,80";"45.975.429,43";"33.178.672,44";"18.564.784,65";
"02/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"9.343.901,56";"255.079.750,57";"246.509.540,01";"10.235.423,25";
"04/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"163.162,92";"360.096,38";"14.492.976,94";"412.408,64";
"01/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.993.846.878,06";"210.086.692,79";"189.229.548,25";"102.422.739,61";
"03/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"- 254.717.997,18";"532.024.066,81";"552.689.618,57";"10.530.029,77";
"02/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 1.056.498,02";"697.694.613,29";"692.515.091,15";"8.646.596,37";
"03/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"12.551.522.406,54";"979.086.974,27";"1.004.477.107,94";"2.444.882,77";
"04/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"349.677,35";"348.935,01";"28.674.350,68";"255.509,31";
"01/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"622.632.003,58";"400.891.887,32";"361.532.967,27";"367.479.209,58";
"02/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.338.099,15";"22.772.667,52";"20.113.095,63";"6.135.959,74";
"01/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"271.896.290,70";"21.232.625,26";"353.378,72";"31.196.993,64";
"03/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"18.234.148,83";"32.398.195,58";"43.101.676,13";"1.197.174,38";
"04/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"316.561,84";"1.027.091,11";"14.970.541,81";"534.481,86";
"04/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"488.224,58";"29.077,62";"8.773.332,71";"335.300,49";
"03/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"121.846.128,52";"16.329.574,25";"24.012.193,05";"2.277.229,37";
"02/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"5.226.449,51";"14.576.486,20";"11.149.381,10";"4.301.218,50";
"01/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"160.887.144,93";"12.172.009,43";"70.977,47";"19.471.725,29";
"03/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"5.462.024,01";"41.762.663,19";"65.944.324,70";"14.224.157,11";
"02/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"36.062.821,08";"33.417.993,78";"32.291.420,59";"4.369.433,86";
"01/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"381.094.657,56";"30.815.109,06";"342.958,51";"13.934.742,89";
"04/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"0,00";"189.792,91";"19.103.841,02";"730.361,47";
"03/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"23.598.998,38";"78.160.753,62";"115.133.140,01";"4.272.077,20";
"04/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"490.946,02";"2.929.598,13";"43.966.481,48";"0,00";
"02/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"150.349.086,71";"66.410.777,79";"59.428.100,85";"14.833.363,51";
"01/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"70.023.738,11";"63.950.806,29";"1.152.022,74";"82.983.650,34";
"04/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"0,00";"51.302,85";"8.860.253,54";"3.376,39";
"01/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"181.882.372,25";"12.987.269,77";"371.121,94";"21.145.153,31";
"02/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"6.174.997,05";"15.774.278,64";"13.867.370,62";"5.228.760,42";
"03/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"11.588.733,34";"23.578.893,05";"34.195.259,34";"4.790.303,02";
"01/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"139.347.028,04";"10.538.518,13";"61.697,35";"11.877.025,27";
"02/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"5.978.721,05";"10.745.085,27";"10.946.125,78";"659.110,35";
"04/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"61.000,00";"114.933,70";"6.571.623,11";"0,00";
"03/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.160.237.404,94";"32.929.891,21";"21.286.026,50";"1.287.184,60";
"04/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.829.982,79";"39.271,56";"27.255.416,25";"0,00";
"03/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"5.737.194.508,66";"132.314.898,47";"123.749.903,94";"2.732.199,37";
"02/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"1.896.984.531,85";"1.922.230.923,99";"1.921.215.533,27";"4.641.726.065,15";
"01/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"370.283.292,56";"56.542.848,58";"28.489.916,17";"3.171.779.046,00";
"04/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"2.043.969,60";"1.160.201,63";"27.919.839,98";"37,98";
"03/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"382.180.447,37";"139.554.867,67";"103.579.516,74";"2.508.157,04";
"02/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"14.594.707,26";"46.130.139,06";"40.893.362,33";"14.711.978,14";
"01/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"141.195.972,85";"42.945.230,98";"825.827,73";"62.430.526,62";
"03/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"127.529.271,60";"71.904.547,11";"102.209.149,59";"7.282.896,51";
"04/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 2.372,58";"7.432,70";"23.900.046,87";"578,52";
"02/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"19.298.636,41";"37.486.322,32";"31.950.623,59";"21.877.001,02";
"01/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"480.068.865,22";"32.022.533,19";"3.350.029,32";"43.420.485,70";
"03/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"6.456.327,36";"5.795.788,09";"3.450.393,59";"1.488.454,03";
"02/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"110.374,26";"1.406.866,70";"736.864,31";"611.304,67";
"01/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"12.691.658,92";"556.023,62";"0,00";"1.482.570,89";
"04/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"3.849,60";"3.849,60";"1.047.784,48";"0,00";
"04/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"2.744.717,82";"490.284,85";"321.471.916,83";"12.356,21";
"01/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"385.985.261,86";"338.340.546,56";"15.716.577,43";"330.665.261,20";
"02/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"369.092.313,71";"350.962.149,60";"350.069.080,29";"11.485.299,21";
"03/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"528.259.001,51";"954.842.134,10";"671.175.260,53";"23.296.234,77";
"03/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"3.575.865,69";"2.680.060,21";"2.368.930,25";"24.243.010,59";
"04/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"6.436,38";"180.467,68";"0,00";"0,00";
