Título,data
ANIVERSÁRIO DA VENEZUELA,1953
EXÉRCITO FRANCÊS LUTA CONTRA COMUNISTAS NA INDOCHINA,1952
ENTREVISTA COM PATRICK GUERRAND HERMÈS,1969
REFORMA DO MUSEU DO IPIRANGA,1953
MORADORES DE RUA NO VIADUTO DO CHÁ,
FILAS DE ÔNIBUS PARA O LITORAL,1968
EXERCÍCIOS MILITARES DO 2O REGIMENTO DE ARTILHARIA ANTI-AÉREA,1952
GETÚLIO VARGAS VISITA SÃO PAULO,1952
RELATO DE VIAGEM DE JORGE AMADO,1952
CURSO DE ECONOMIA DOMÉSTICA PARA PROFESSORES,1952
INAUGURAÇÃO DA NOVA SEDE DO SINDICATO DOS JORNALISTAS,1952
POLUIÇÃO CAUSADA POR ÔNIBUS,1952
CENAS DE FLORESTA,1952
FUNERAL DE BRENDAN BEHAN,1964
FORÇAS DA ONU EM CHIPRE,1964
"CELEBRAÇÃO DAS ""FALLAS""",1964
JANTAR NA ESCOLA NAVAL,1964
MISSA NO VIADUTO DO CHÁ,1964
CAMPEONATO PAULISTA DE CAÇA SUBMARINA,1964
CPI NO CAETANO DE CAMPOS,1964
REUNIÃO NA COMPANHIA TELEFÔNICA BRASILEIRA,1964
APREENSÃO DE FARINHA DE TRIGO DETERIORADA,1964
EM CIMA DA HORA: EXPANSÃO REDE TELEFÔNICA,1964
ABERTO TÚNEL DO GRANDE SÃO BERNARDO,1964
"ÚLTIMOS EXAMES NA NAVE ""GEMINI""",1964
BASES DOS EUA ADOTAM NOVO SISTEMA DE CONTROLE CONTRA ACIDENTES AÉREOS,1964
GENERAL PREMGNANI ANUNCIA AÇÃO DA FORÇA INTERNACIONAL DA ONU,1964
TREINO DO PALMEIRAS,1964
TRASLADAÇÃO E REPOSIÇÃO DO SANTÍSSIMO SACRAMENTO,1964
POSSEIROS EXPULSOS,1964
TÉRMINO DO PRIMEIRO SEMINÁRIO LATINOAMERICANO DE SAÚDE OCUPACIONAL,1964
REVOLTA DOS MARINHEIROS NO RIO NÃO REPERCUTE EM SÃO PAULO,1964
PRESO PISTOLEIRO DA RUA AUGUSTA,1964
MOVIMENTO DE VEÍCULOS NA VIA ANCHIETA,1964
"AVIÃO SUPERSÔNICO PASSA POR TESTE EM ""TÚNEL DE VENTO""",1964
TESTES FINAIS DO FOGUETE TITAN II,1964
PAPA PAULO VI VISITA A UNIVERSIDADE DE ROMA,1964
CASSIUS CLAY REPROVADO NO SERVIÇO MILITAR,1964
TERMINA GREVE DE TRABALHADORES DE ESTUÁRIOS,1964
TREINO E ESTÁDIO ESPORTIVO DO GUARÁ,1964
INAUGURAÇÃO DA EXPOSIÇÃO INDUSTRIAL DA HUNGRIA,1964
GREVE DE TRABALHADORES DA CONSTRUÇÃO CIVIL,1964
ASSINADO FINANCIAMENTO PARA OBRAS DO TEATRO GIL VICENTE,1964
AUMENTO DE MOVIMENTO NOS CORREIOS EM DECORRÊNCIA DA GREVE NAS COMPANHIAS TELEGRÁFICAS PARTICULARES,1964
AÇÃO DE FISCAIS DA FAZENDA EM SANTOS E NA VIA ANCHIETA,1964
REDAÇÃO DA RÁDIO DIFUSORA DANIFICADA EM INCÊNDIO,1964
CARROCEIROS DE BRASÍLIA REALIZAM PASSEATA-PROTESTO,1964
DESVIO DE PAPEL PARA CONFECÇÃO DE TALÕES DE JOGO DO BICHO,1964
CORPO DE JÓQUEI ACIDENTADO SEGUE PARA CATANDUVA,1964
EXPOSIÇÃO DE ARTE SACRA NO INSTITUTO DE BELAS ARTES,1964
PRIMEIRA APARIÇÃO DE ELIZABETH TAYLOR E RICHARD BURTON APÓS CASAMENTO,1964
DIRIGENTES DE PARTIDOS NA ALESP,1964
MANIFESTAÇÃO E GREVE DE TRABALHADORES EM BRASÍLIA,1964
INCÊNDIO NA RÁDIO DIFUSORA SÃO PAULO,1964
GREVE DOS TELEGRÁFICOS,1964
MANOBRAS NAVAIS NA CHINA NACIONALISTA,1964
EUA LANÇAM NOTA DIPLOMÁTICA SOBRE AVIÃO ABATIDO NA URSS,1964
UNIVERSITÁRIOS DOAM SANGUE,1964
ASSEMBLEIA DE FUNCIONÁRIOS DE EMPRESAS TELEFÔNICAS DECRETA GREVE,1964
MUSEU DO IPIRANGA FECHADO PARA LIMPEZA,1964
ALUNOS DA FACULDADE DE DIREITO EM ASSEMBLEIA PERMANENTE,1964
INCÊNDIO NO BRÁS,1964
FEDERAÇÃO PAULISTA DE FUTEBOL,1964
AVIÃO QUADRIMOTOR CAI E EXPLODE EM BOSTON,1964
EXÉRCITO DOS EUA REALIZA TESTES COM FUZIL A LASER,1964
INCÊNDIO EM FÁBRICA DE PIANOS EM OHIO,1964
"PRESO O ""GIGANTE CHINÊS""",1964
VISITA AO INSTITUTO AGRONÔMICO DE CAMPINAS,1964
"DST PLANEJA ""OPERAÇÃO NORTE""",1964
DAE INSTALA GALERIAS PLUVIAIS E DEIXA RUAS ESBURACADAS,1964
DESCOBERTAS RUÍNAS DE IGREJA EM IGUAPE,1964
JULGADA IMPROCEDENTE AÇÃO CONTRA O BANCO DO BRASIL,1964
ENTREGA DE AVISOS NA PREFEITURA,1964
JUVENTUS TREINA SEM TÉCNICO,1964
QUEBRA-QUEBRA EM JOGO ENTRE PORTUGUESA SANTISTA X ESTRADA,1964
GOVERNO DOS EUA AGUARDA NOTÍCIAS DOS TRIPULANTES DO RB-66,1964
POSTO BOSSA-NOVA,1964
SEGUNDA FEIRA NACIONAL DE ARTEFATOS DE COURO,1964
TORNEIO RIO-SÃO PAULO DE 1964: PORTUGUESA X SÃO PAULO,1964
INSTALAÇÃO DOS TRABALHOS NA ASSEMBLEIA LEGISLATIVA,1964
DERRUBADA DE PALMEIRAS NA AVENIDA SÃO LUIZ,1964
PREFEITURA DEVE SUBSTITUIR PONTES DE MADEIRA,1964
CASA DO TRABALHADOR,1964
NAVIO PETROLEIRO EXPLODE NOS EUA,1964
RECEPÇÃO AO PRESIDENTE DA ARGÉLIA EM BELGRADO,1964
PAPA CONCEDE BENÇÃO NO DIA DE SÃO FRANCISCO DE ROMA,1964
DOPS IMPEDE ALTO-FALANTES PARA RETRANSMISSÃO DO COMÍCIO DA CENTRAL,1964
DOPS INVESTIGA ATAQUE CONTRA RESIDÊNCIA DE GENERAL,1964
REUNIÃO DE FUNCIONÁRIOS E EMPREGADORES DO TRANSPORTE COLETIVO NA DRT,1964
EXPOSIÇÃO DE CALENDÁRIOS,1964
EXPOSIÇÃO DE GRAVURAS,1964
JUSTIÇA NOTIFICA FRANK SINATRA JUNIOR,1964
ONU APROVA ENVIO DE FORÇA INTERNACIONAL AO CHIPRE,1964
MULHER PROCESSADA POR BIGAMIA,1964
DEBATE SOBRE CRIAÇÃO DE NOVO MINISTÉRIO,1964
PLENÁRIO DA CÂMARA CONTRA AUMENTO DAS PASSAGENS DE ÔNIBUS,1964
RECÉM-NASCIDO ENCONTRADO NO LIXO,1964
FUZILEIROS NAVAIS CHEGAM A SANTOS,1964
GINÁSIO CLANDESTINO NA ÁGUA FRIA,1964
TRT JULGA DISSÍDIO COLETIVO DOS METALÚRGICOS,1964
CRESCE NÚMERO DE INTERESSADOS EM OBTER EMPRÉSTIMOS NA CAIXA,1964
ASSEMBLEIA DE SERVIDORES FEDERAIS,1964
MONUMENTO A SÃO PAULO APÓSTOLO NO PICO DO JARAGUÁ,1964
REUNIÃO DA FEDERAÇÃO PAULISTA DE FUTEBOL,1964
AUMENTA O NÍVEL DA REPRESA BILLINGS,1964
TREINO DA SELEÇÃO PAULISTA DE BASQUETE E DOS COMPETIDORES DAS PROVAS DA ASSOCIAÇÃO DOS VOLANTES,1964
EXPOSIÇÃO COMEMORA O QUARTO CENTENÁRIO DA MORTE DE MICHELANGELO,1964
DINAMITAÇÃO DE CASAS PRÓXIMAS AO MURO DE BERLIM,1964
POLÍCIA APREENDE DINHEIRO EM CASA DE ANCIÃO,1964
CIPRIOTAS ABREM FOGO CONTRA TROPAS BRITÂNICAS,1964
CHANCELER BRITÂNICO CHEGA A GENEBRA,1964
DESFILE DO ATELIÊ NINA RICCI,1964
MINISTRO DA EDUCAÇÃO CONCEDE ENTREVISTA,1964
