data,quantidade
1968,3208
1965,1158
1962,585
1964,546
1961,435
2024,198
1960,188
1966,188
2018,183
2022,173
2019,169
2023,161
2017,160
1970,147
2016,143
2015,133
2013,129
2021,129
1963,114
2014,114
2011,100
1969,97
2012,97
1967,91
0,86
2009,84
2008,79
2007,78
2010,74
2006,72
2020,59
1958,58
2005,56
2004,54
1957,52
1950,49
1942,44
1941,33
1945,33
1949,33
1952,30
2001,30
2003,30
2002,29
1939,28
1936,28
1951,28
1999,28
1943,27
1944,25
1948,24
1947,23
1946,23
1998,23
2000,23
1954,22
1953,21
1997,21
1938,19
1937,18
1996,18
1940,17
1972,17
1927,15
1959,14
1934,14
1926,14
1956,14
1995,14
1920,13
1955,10
1931,10
1930,10
1974,9
1925,8
1924,8
1973,8
1977,8
1971,8
1935,7
1928,7
1929,6
1922,5
1979,5
1921,5
1975,5
1932,4
1923,4
1933,4
1978,4
1976,4
1919,2
1910,2
1980,2
2236,1
1918,1
1913,1
1916,1
1983,1
